amount,hour_of_day,transactions_last_hour,is_new_device,account_age_days,is_fraud
270.65234268676915,13.272848889481288,1,0,992.5891463900383,0
218.672922552149,20.884491315065905,1,0,732.6179395002908,0
128.6415304055724,12.599997344900554,1,0,513.4837919470925,0
122.31763018737139,14.510421223156063,2,0,243.98005860310806,0
1373.5803733792047,11.912630698473114,0,0,1421.1478707781625,0
39.14895843688915,23.0,0,0,449.64325121822964,0
83.62737995408628,11.32261463702578,1,0,380.5132080581321,0
413.40262279710646,12.798669472698544,0,1,304.61599292587414,0
88.33082802280593,6.215775530183945,0,0,492.37835047905014,0
272.7833587556319,15.788335952127706,0,0,440.0999461029201,0
296.8904827785561,17.548119986644785,2,0,644.4204411497649,0
679.34500370434,7.649872182991781,2,0,810.8387161114097,0
394.23589322702924,2.984522667131083,1,0,295.00815861445096,0
211.9778460865612,11.856883882326548,0,0,852.1527559998651,0
153.11295025111914,7.447062506089696,1,0,617.4481225774764,0
2247.2093304107216,7.240845906233639,1,0,598.9300830813138,0
669.5704952173688,15.823207788166815,0,0,436.3190109709521,0
144.70113092094513,17.202062851956462,1,1,219.54961116422905,0
550.0828063396593,16.62077800953815,2,0,519.0577004942088,0
283.55522544239227,18.034970944585226,0,0,592.8801339394176,0
168.5126857166273,12.609788065745095,2,1,719.7399032751209,0
1322.9135499383624,8.654548269438886,0,0,791.1972445533075,0
1651.3483915876304,12.859508820719693,1,0,474.2178380429133,0
208.8935361700532,14.819642647949529,0,0,531.6289812437485,0
715.9833863550554,15.530066009164916,0,0,408.1966774384112,0
186.6146863923695,11.534291940058004,0,0,635.5421792690257,0
273.09035076702287,21.142222833295364,1,0,750.8098893965523,0
87.01976338539357,15.357439330375067,4,0,385.83352879045447,0
58.09742455179078,17.131304023365185,0,0,698.7668580098291,0
239.56590911322397,19.32982497804216,0,0,471.306538751866,0
802.594210072503,10.58757602859996,2,0,515.15114786152,0
880.623935940178,8.551432943960103,1,0,286.4892677885412,0
101.28946737896148,6.641555936141197,1,0,1116.3060086803314,0
1042.7268911302885,8.828925931530948,0,0,563.8619294899951,0
1121.6126733878818,15.965343690609231,1,0,260.04565205817374,0
170.68866434955035,17.214131408889838,1,0,184.17785933740763,0
735.8812663320722,11.045640311260575,0,0,386.72343489942864,0
498.87908214118454,23.0,3,0,843.8176362305417,0
170.98611201950752,10.17588551895085,0,0,242.06380448626388,0
232.07857130845693,16.73442557773283,2,0,680.4125432458178,0
2224.3123369401756,7.612009333565997,2,0,965.8165970519108,0
171.29502399911527,20.361266604969394,3,0,589.8159371786213,0
269.1749338522095,17.859717659915148,0,0,307.6170700931458,0
299.4138428143251,1.1926272210023647,2,0,352.24660656892934,0
524.9438203831654,9.126702218676972,0,0,442.2155527600545,0
144.66239591254256,13.03028896095625,0,0,587.9946989679435,0
444.4626535774833,12.71778475827724,1,0,470.96718353170945,0
200.33274459406266,14.175098763701019,2,0,359.26217525356986,0
36.43324257361565,10.611887147296358,1,0,559.4939024481827,0
2198.4675297776216,13.974006986695803,1,0,295.25663090108026,0
1412.5493505493494,13.966610700206829,1,0,294.2061092084861,0
201.28389231846322,14.459373517122838,0,0,281.0564242287024,0
238.7310472427062,8.45551908177741,0,0,753.1632854689054,0
87.19062968310992,13.415942680605392,1,0,819.1966599278679,0
1671.5444280123013,16.318236558707692,0,0,819.5926948858246,0
257.6598754317994,12.820809079961297,2,0,492.66142386619737,0
140.47286705290531,17.37921596421333,1,0,686.954730707768,0
812.694872446367,14.244714144978513,3,0,753.1418499351051,0
614.2109070879294,4.975766685318174,1,0,234.44096861484977,0
542.4980842046957,12.287593006482352,3,0,294.74688798887144,0
228.27481350065352,14.929713193975967,0,0,569.898853903201,0
335.6324504153875,12.789892794435318,1,0,567.436299362671,0
1393.449693206189,11.710123986579799,1,0,534.4853136275642,0
1229.6439388758874,14.714265960770742,1,0,419.1895865879001,0
207.6240494938232,13.36183409135644,0,0,604.2626316048031,0
599.1245102549284,10.00694876637664,1,0,510.7051715748608,0
162.35759738225124,9.966349017822925,0,0,660.2180721073925,0
142.5395990472842,20.77194976358969,0,0,533.9375729337913,0
343.37644613163025,6.583599334581056,0,0,241.22070475338884,0
48.41617293273455,12.025123580961294,0,0,284.8889578011528,0
1029.0384840668917,12.555639140619963,5,0,517.83847418936,0
445.3619025730462,15.249483070886198,1,0,397.5239630513976,0
264.95987677088306,16.32963810021381,0,0,262.29247305638626,0
330.59159498668134,12.386844668606022,1,0,764.5660836540834,0
413.01687805744524,12.30614829274419,1,0,265.8046734195497,0
1119.4554723163644,13.269942691876835,0,0,466.4747561005523,0
1499.4077121088383,16.63498572242066,0,0,364.8293432564723,0
647.8324362061181,17.182867876700506,1,0,378.71239173507126,0
2575.5906295674945,9.17396448287376,1,0,589.6038567193372,0
92.1430975200649,7.934937979622156,2,1,661.4826888111926,0
286.9752348330795,7.847827850862919,2,0,579.3808400590715,0
223.33002723941422,14.643901841311427,1,0,281.85733302829436,0
998.6981097330456,1.5717310721603486,1,0,374.7472846988425,0
113.28596225797085,16.86802563586836,0,0,200.76856732137588,0
35.99090795865995,13.100984010245156,0,0,164.2116827000199,0
239.53023516944012,17.623803096542765,1,0,580.5904047037055,0
4937.765328007091,7.862947544870641,0,0,697.018605805579,0
110.81268677938496,20.407822543478254,2,0,525.57194661716,0
1458.3031712636619,14.155430101129664,2,0,716.790094098458,0
543.7294638086464,7.70399888104852,0,0,501.53825286164135,0
420.28151003023333,14.712109750985015,1,0,506.54316691205673,0
369.889893835366,8.437573526811885,2,0,212.97328515292148,0
2022.7649230296583,19.972483512244565,0,0,360.2524962413653,0
226.24910188714568,11.784597154208765,2,0,636.8026510984196,0
232.97835886425705,17.389105788134433,1,0,393.20591725736244,0
124.04332234861502,10.319997053604965,0,0,784.9282167098538,0
245.93637872968938,16.515589673221065,1,0,456.5168652679323,0
308.2918601268237,15.970711271454267,0,0,294.76041605600807,0
36.52704905199728,18.210505199988766,1,1,722.3133207270574,0
192.0454973283403,8.787606809048164,0,0,749.4613653661041,0
264.4108397205996,17.33426450321504,2,0,548.7090364553736,0
1734.6184690959328,9.944740209837343,3,0,636.4470341415335,0
147.97263278295213,8.573209656711109,2,1,593.9380379195005,0
384.82799924242516,10.66599913408481,0,1,567.9834461113522,0
108.96941536267857,21.412242533970172,0,0,222.86245266200106,0
391.32111643231394,12.08759728580753,1,0,195.36803649697637,0
200.5481949676826,12.79348743412191,1,0,785.6708252669575,0
493.629436605011,18.796187606433257,1,0,609.6629445771582,0
192.91164175714346,16.925474263343112,1,0,217.6147262826885,0
325.34501368783964,15.30295641911414,0,1,545.8219054210808,0
222.4071237677277,13.169507447047824,1,0,979.8773849664008,0
1432.813371070378,16.358734562778817,1,0,469.65643121704056,0
307.8978018672109,12.353706104677244,1,0,371.6876213071786,0
941.8273700134386,19.686177234120457,1,0,492.5688515736441,0
767.9116267509902,14.401636764992793,1,0,873.0669924640663,0
1535.4403491102187,20.910259740632203,1,1,1110.4964059185904,0
667.2951051208377,11.480780073715717,2,0,512.3259785879674,0
659.8596073640974,15.29573252048025,0,0,491.2532616023807,0
147.56382014979405,12.5003890519433,2,0,637.563718640138,0
386.80460490835105,14.414934735576926,0,0,461.5839823140566,0
336.5346832423793,9.794821686555832,3,0,504.62968805805275,0
273.0326163121774,12.412183376898708,0,0,435.95727988279407,0
424.5465299281102,19.765289305640806,0,0,247.97676758268338,0
547.4160092087211,5.114929813711088,0,0,393.1848158265594,0
790.4582899255073,19.433942326892385,1,0,497.9240493496287,0
93.43655637830264,16.532028199553356,2,0,626.1099819149663,0
147.59086630013718,13.781415725362582,0,0,515.1008985130129,0
300.2318813773237,21.64441217365121,3,0,343.9395162758273,0
626.5757312061141,11.34762692898358,2,0,251.18301348073047,0
2453.8582147955917,6.253837282649281,2,0,578.9582861727876,0
